state,state_key,vehicle_reg_2025_state,bus_reg_2025_state,car_reg_2025_state,lorry_reg_2025_state,motorcycle_reg_2025_state,other_vehicle_reg_2025_state,trailer_reg_2025_state,van_reg_2025_state
Johor,johor,40406,201,13817,2525,20544,2652,475,192
Kedah,kedah,11193,10,3927,600,6036,506,107,7
Kelantan,kelantan,6758,21,2523,238,3916,18,16,26
Melaka,melaka,6385,0,2359,325,3304,360,19,18
Negeri Sembilan,negeri sembilan,5893,0,1791,560,2134,664,730,14
Pahang,pahang,7938,2,2988,359,4267,236,50,36
Perak,perak,10985,8,3997,454,5354,841,278,53
Perlis,perlis,2237,1,621,4,1507,101,1,2
Pulau Pinang,pulau pinang,16192,5,6098,1043,7787,783,446,30
Rakan Niaga,rakan niaga,1330688,2,749289,3038,576463,29,0,1867
Sabah,sabah,29365,13,11717,1805,12793,2746,166,125
Sarawak,sarawak,30360,18,10639,2139,13957,3186,296,125
Selangor,selangor,44324,645,15227,2357,17376,6619,1935,165
Terengganu,terengganu,5618,0,1686,74,3815,15,25,3
W.P. Kuala Lumpur,w.p. kuala lumpur,81209,429,43648,6178,25461,4502,211,780
W.P. Putrajaya,w.p. putrajaya,1,0,0,0,1,0,0,0
